,Serial No.,Name,ID Number,Time,Comments,Unnamed: 5
8739,8740,Shalini Kumar,22881A0460,04-10-2023 21:30,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
7958,7959,Satish Nair,21881A7277,01-10-2023 12:45,Explored the tech expo and discovered the latest gadgets. Exciting innovations! #TechDiscoveries,
6938,6939,Praveen Chauhan,22881A6667,30-09-2023 15:15,Insipid,
9159,9160,Ananya Kumar,22881A7290,28-09-2023 19:45,"Attended the hackathon, successfully pushing my coding abilities to new thresholds.",
4719,4720,Arjun Sharma,22881A0438,02-10-2023 09:30,The closing ceremony was emotional and heartwarming. Proud to be part of this community. #CommunitySpirit,
5372,5373,Neha Reddy,21881A0599,21-09-2023 19:15,Enjoyed the robotics competition! Building and competing with bots is always thrilling. #RoboticsFun,
5577,5578,Meera Nair,21881A6602,02-10-2023 12:45,Explored the wonders of science at the fair. A journey of discovery! #ScienceExploration,
8698,8699,Priyanka Raj,21881A0519,18-09-2023 23:00,The panel discussion on AI was eye-opening. Explored the possibilities and challenges ahead. #AIInsights,
6323,6324,Deepa Sharma,21881A0436,18-09-2023 22:15,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
1772,1773,Shweta Naidu,21881A0532,18-09-2023 20:45,The science quiz was challenging but fun. Great job by the organizers. #EngagingQuiz,
6961,6962,Rajesh Patel,22881A6725,29-09-2023 09:30,Uninspired,
4541,4542,Tarun Joshi,21881A0540,04-10-2023 19:15,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
3809,3810,Anirudh Rao,22881A0455,02-10-2023 20:00,The gaming tournament was competitive. Had a great time showcasing my skills. #GamingCompetition,
7257,7258,Siddharth Naidu,21881A1230,01-10-2023 15:30,Gaming tournament was thrilling! Competed with top-notch gamers. #GamingThrills,
214,215,Aryan Singhania,21881A0599,30-09-2023 15:15,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
1619,1620,Tanuja Reddy,22881A7369,15-09-2023 11:15,"Engaged in a debate competition, fostering thought-provoking intellectual exchanges.",
9172,9173,Ravi Chandra,21881A0478,16-09-2023 14:30,Participated in the science quiz. Tested my knowledge and had fun! #QuizThrills,
2603,2604,Neha Reddy,22881A7338,19-09-2023 18:30,The panel discussion on innovation sparked new ideas and perspectives. Ready to innovate! #InnovationSparks,
8223,8224,Manish Nair,22881A6683,04-10-2023 10:15,Uninspired,
4444,4445,Deepak Naidu,22881A7316,29-09-2023 14:45,Speech session was too sleepy to hear. Fantastic for new learners. Rock and Roll!,
5542,5543,Ananya Rao,22881A0480,02-10-2023 14:30,The quiz competition tested my knowledge to the fullest. Challenging and fun! #QuizCompetition,
4763,4764,Rajat Iyer,22881A7270,29-09-2023 11:00,Cordinators organized the event well. Expecting the next session to start within the mentioned time.,
230,231,Vikram Prasad,21881A7273,01-10-2023 22:15,Entered the hackathon and explored the boundaries of my coding capabilities.,
3337,3338,Akash Mehra,21881A0599,29-09-2023 09:30,Apathetic,
7159,7160,Aditya Srinivasan,21881A0434,23-09-2023 20:45,Participated in the hackathon and achieved success. A challenging but fulfilling experience! #HackathonSuccess,
3216,3217,Abhinav Verma,21881A0599,01-10-2023 20:00,Awkward,
4850,4851,Sujay Reddy,21881A6600,02-10-2023 12:45,"Attended a thought-provoking data science session, unveiling boundless possibilities. #DataScienceInsights",
9094,9095,Rajat Iyer,21881A1232,29-09-2023 21:30,Investigated the current technology landscape at the tech expo. Anticipating exciting innovations in the future! #TechTrends,
2004,2005,Veer Khanna,22881A6751,21-09-2023 18:30,Underwhelming,
9642,9643,Prateek Mishra,21881A0599,24-09-2023 14:30,The staff was unhelpful,
945,946,Anika Kapoor,22881A7348,21-09-2023 18:30,Boring. Sweet and simple. Faculty too bad.,
1891,1892,Sumanth Reddy,22881A0444,02-10-2023 16:00,The science exhibition had captivating experiments. Science at its best! #ScienceExperiments,
6720,6721,Sunil Nair,21881A7322,03-10-2023 16:00,The quiz competition was a test of wit and knowledge. Challenging and fun! #QuizChallenge,
3454,3455,Suresh Babu,21881A7259,01-10-2023 10:15,The closing ceremony was emotional. Saying goodbye to such an amazing fest was tough. #FarewellEmotions,
1020,1021,Megha Reddy,21881A0401,30-09-2023 23:00,"Engaged in the hackathon, pushing my coding skills to their limits. #HackathonChallenges",
394,395,Vishal Kumar,21881A1225,20-09-2023 19:15,Enhanced coding skills at the fantastic workshop. Excited to implement new tricks. #CodeBoost,
3189,3190,Harsh Kapoor,22881A0445,01-10-2023 11:00,The event failed to capture my interest. The content was mundane and unengaging. #LackofInterest,
6765,6766,Shruthi Nair,21881A0520,30-09-2023 10:15,The science quiz was challenging but fun. Great job by the organizers. #EngagingQuiz,
1757,1758,Ashita Kapoor,22881A7385,03-10-2023 09:30,Debate competition was intense! Stimulating intellectual exchange. #DebateIntellect,
329,330,Karthik Naidu,21881A1274,17-09-2023 20:00,Art exhibition was a feast for the eyes. So much creativity showcased! #ArtisticFeast,
3303,3304,Amrutha Nair,21881A1253,01-10-2023 11:00,"The quiz competition brought a mix of nerves and excitement, thoroughly testing our knowledge. #QuizThrills",
5560,5561,Shankar Menon,22881A0593,03-10-2023 20:45,"Participated in the hackathon and met the challenge head-on, pushing my coding skills.",
3047,3048,Yuvan Iyer,21881A1212,17-09-2023 21:30,Explored new coding tricks at the workshop. Enhancing my coding skills. #CodingJourney,
5237,5238,Kirti Kumar,21881A7367,30-09-2023 23:00,"Joined an insightful data science session, uncovering the vast array of possibilities. #DataScienceInsights",
6578,6579,Geeta Menon,22881A7281,19-09-2023 11:00,The event needs to be improved. Faculty  too bad.,
4078,4079,Rishabh Patel,21881A7356,18-09-2023 10:15,"Attended enlightening workshops on machine learning, encountering a wealth of knowledge to absorb and learn. #MLInsights",
232,233,Tanuja Reddy,22881A7301,17-09-2023 17:45,The virtual reality experience was mind-blowing. Transported to another dimension! #VirtualRealityAdventure,
6134,6135,Praveen Patel,21881A0412,05-10-2023 16:00,The career fair opened up new possibilities. Excited for the future. #CareerOpportunities,
9747,9748,Sandeep Kumar,21881A7201,16-09-2023 19:15,Participated in the science quiz and had a blast! Testing our knowledge was so much fun. #QuizFun,
8761,8762,Vandana Reddy,22881A0476,02-10-2023 16:00,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
6552,6553,Deepa Sharma,22881A0421,03-10-2023 17:45,The cultural performances in the evening were fantastic. Had a blast! #EntertainingNight,
4181,4182,Pooja Reddy,22881A0421,24-09-2023 11:00,The debate competition was intellectually stimulating. Explored different perspectives. #DebateClub,
7978,7979,Diya Bhatia,21881A0405,25-09-2023 16:00,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
8736,8737,Arnav Desai,22881A0403,24-09-2023 16:00,The closing ceremony marked the end of an incredible fest. Nostalgic and grateful. #MemorableClosure,
2935,2936,Shruthi Nair,21881A0502,30-09-2023 10:15,"Attended a thought-provoking data science session, unveiling boundless possibilities. #DataScienceInsights",
1305,1306,Ananya Choudhury,21881A0400,03-10-2023 18:30,The art exhibition showcased incredible talent. A visual feast! #ArtisticFeast,
8191,8192,Lavanya Murthy,21881A1278,19-09-2023 23:00,Inspiring workshop on entrepreneurship. Motivated to start my own venture. #EntrepreneurialDreams,
9240,9241,Advait Khanna,21881A6648,02-10-2023 20:45,Participated in the hackathon and achieved success. A challenging but fulfilling experience! #HackathonSuccess,
500,501,Harsh Kapoor,21881A0599,04-10-2023 15:15,Dreadful,
5844,5845,Shalini Reddy,21881A0499,02-10-2023 18:30,Debate competition was intense! Loved defending my arguments. #DebatePassion,
7463,7464,Lavanya Reddy,22881A7390,01-10-2023 20:45,Felt so happy for attending the session,
5952,5953,Siddharth Malhotra,22881A0469,01-10-2023 23:00,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
4401,4402,Pranav Nair,21881A1240,21-09-2023 18:30,Inspiring workshop on entrepreneurship. Feeling motivated to start my own venture. #EntrepreneurialDreams,
241,242,Siddharth Naidu,22881A7357,17-09-2023 22:15,The event needs to be improved. Faculty  too bad.,
2931,2932,Shruthi Nair,21881A6648,02-10-2023 17:45,The art exhibition showcased incredible talent. A visual feast! #ArtisticFeast,
4161,4162,Vikas Menon,21881A0564,21-09-2023 18:30,Enjoyed the robotics competition. Learned a lot from the challenges. #Impressive,
2403,2404,Varun Bansal,22881A6639,04-10-2023 12:45,Lackadaisical,
8061,8062,Nithya Prakash,21881A1255,21-09-2023 17:45,"Accepted the hackathon challenge, experiencing a fulfilling test of my coding abilities. #HackathonChallenges",
4342,4343,Revathi Iyer,22881A7337,30-09-2023 20:00,More entertainment and events need to be conducted. It has been very dry.,
7487,7488,Abhinav Verma,21881A6662,22-09-2023 09:30,Explored the wonders of science at the fair. An enlightening experience! #ScienceWonder,
6758,6759,Ajay Nair,21881A0599,15-09-2023 18:30,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
4263,4264,Shweta Menon,22881A6667,19-09-2023 09:30,Tedious,
4248,4249,Vanya Thakkar,21881A0402,30-09-2023 22:15,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
4074,4075,Harsha Reddy,21881A1250,18-09-2023 17:45,Explored the latest technological developments at the tech expo. Exciting innovations are on the horizon! #TechTrends,
6127,6128,Sunil Nair,22881A7310,19-09-2023 09:30,Cordinators organized the event well. Active participation from all the students. Expecting the next session to start within the mentioned time.,
70,71,Shruthi Nair,21881A0460,16-09-2023 11:00,"Entered the hackathon and delved into different coding challenges, pushing my skills. #HackathonChallenges",
5936,5937,Anika Iyer,21881A1219,30-09-2023 18:30,Investigated the current technology landscape at the tech expo. Anticipating exciting innovations in the future! #TechTrends,
100,101,Praveen Patel,22881A0537,01-10-2023 22:15,"Attended a session exploring data science, unveiling a world of endless possibilities. #DataScienceInsights",
199,200,Harsha Reddy,22881A7342,16-09-2023 12:45,Satisfactory. Not satisfied. Sweet and simple.,
1556,1557,Satish Nair,21881A7365,18-09-2023 20:00,"The quiz competition was a rollercoaster of nerves and excitement, pushing the boundaries of our knowledge. #QuizThrills",
4867,4868,Akhila Patel,21881A7333,30-09-2023 11:00,The art exhibition showcased diverse talents. Amazed by the creativity. #ArtisticExpressions,
7615,7616,Amrutha Nair,22881A0406,21-09-2023 19:15,The panel discussion on innovation was enlightening. Inspired to think outside the box. #InnovationPanel,
5828,5829,Rohan Khanna,21881A0599,21-09-2023 18:30,Awful,
827,828,Meenakshi Patel,22881A0441,04-10-2023 20:45,"Accepted the hackathon challenge, experiencing a fulfilling test of my coding abilities. #HackathonChallenges",
2357,2358,Prateek Mishra,21881A0599,01-10-2023 11:00,Dreadful,
7653,7654,Sumanth Reddy,22881A0468,04-10-2023 18:30,The quiz competition tested my knowledge to the fullest. Challenging and fun! #QuizCompetition,
6780,6781,Kabir Kapoor,22881A6605,04-10-2023 22:15,The art exhibition was a visual delight. Incredible creativity on display! #ArtisticDelight,
9534,9535,Vikram Prasad,22881A0454,04-10-2023 09:30,"The science fair showcased the marvels of science, offering abundant opportunities for learning and discovery. #ScienceExploration",
6885,6886,Ananya Kumar,22881A7271,16-09-2023 12:45,More entertainment and events need to be conducted. It has been very dry.,
7762,7763,Shruthi Nair,21881A1228,21-09-2023 09:30,Investigated the current technology landscape at the tech expo. Anticipating exciting innovations in the future! #TechTrends,
2617,2618,Rohit Sharma,22881A6683,30-09-2023 22:15,Monotonous,
8935,8936,Shruti Kapoor,22881A0473,01-10-2023 14:30,The art exhibition showcased unique talents. Inspired to explore my artistic side. #ArtInspiration,
4946,4947,Anupama Naidu,21881A7273,30-09-2023 23:00,"Attended a motivating workshop on entrepreneurship, now driven to turn my entrepreneurial aspirations into reality. #EntrepreneurialDreams",
135,136,Vandana Varma,22881A6675,02-10-2023 10:15,Neglectful,
9341,9342,Arjun Menon,21881A7277,30-09-2023 23:00,Entered the hackathon and explored the boundaries of my coding capabilities.,
2797,2798,Shankar Menon,21881A7329,03-10-2023 20:45,"Attended an empowering entrepreneurship workshop, filled with inspiration to kickstart my entrepreneurial endeavors. #EntrepreneurialDreams",
6910,6911,Amrutha Nair,21881A7279,17-09-2023 20:00,"The quiz competition brought a mix of anticipation and excitement, thoroughly challenging our knowledge. #QuizThrills",
1770,1771,Ananya Kumar,22881A7391,16-09-2023 19:15,Okokok...lalala.,
635,636,Anvi Reddy,22881A7319,04-10-2023 18:30,"Engaged in workshops on machine learning that were enlightening, providing a plethora of knowledge to absorb and understand. #MLInsights",
6649,6650,Rajat Verma,21881A0451,01-10-2023 17:45,The virtual reality experience was mind-blowing. Felt like entering a new dimension. #VRExperience,
2784,2785,Akhila Patel,22881A0565,17-09-2023 19:15,Cordinators organized the event well. Expecting the next session to start within the mentioned time.,
881,882,Aditya Sharma,22881A7299,30-09-2023 17:45,The coding workshop was fantastic! Learned some new tricks to enhance my coding skills. #CodeLearning,
3305,3306,Anjali Raj,22881A7307,29-09-2023 14:00,Felt so happy for attending the session,
5615,5616,Shalini Reddy,21881A1235,30-09-2023 16:00,Latest trends in technology at the tech expo. Exciting innovations ahead! #TechTrends,
1921,1922,Preeti Rajan,22881A7381,02-10-2023 09:30,Speech session was too sleepy to hear. Fantastic for new learners. Rock and Roll!,
5568,5569,Harish Choudhury,22881A0430,01-10-2023 17:45,The gaming tournament was competitive. Had a great time showcasing my skills. #GamingCompetition,
585,586,Vivaan Sharma,21881A0466,18-09-2023 22:15,Investigated the current technology landscape at the tech expo. Anticipating exciting innovations in the future! #TechTrends,
6400,6401,Deepak Naidu,22881A7268,29-09-2023 18:30,Okokok...lalala.,
3667,3668,Adarsh Rajput,22881A0463,04-10-2023 15:15,"The quiz competition brought a mix of nerves and excitement, thoroughly testing our knowledge. #QuizThrills",
2023,2024,Sumanth Kumar,21881A1238,29-09-2023 15:15,Innovative projects at the exhibition were mind-blowing! #InnovationShowcase,
5965,5966,Aisha Patel,22881A0520,02-10-2023 17:45,The showcased projects at the exhibition were truly impressive and filled with talent. #InnovationGalore,
7574,7575,Nandini Iyer,21881A7288,01-10-2023 16:00,"The quiz competition was a rollercoaster of nerves and excitement, pushing the boundaries of our knowledge. #QuizThrills",
4504,4505,Praveen Reddy,22881A0487,04-10-2023 22:15,"Participated in a quiz competition that was both intense and exciting, stretching our knowledge to the maximum. #QuizThrills",
8955,8956,Preeti Rajan,22881A7341,01-10-2023 22:15,More entertainment and events need to be conducted. It has been very dry.,
9294,9295,Kirti Kumar,21881A7261,02-10-2023 11:00,"Engaged in an electrifying gaming tournament, facing tough competition from top-notch gamers. #GamingThrills",
9526,9527,Avya Menon,22881A7385,15-09-2023 11:15,Boring. Sweet and simple. Faculty too bad.,
5084,5085,Ananya Choudhury,22881A0451,04-10-2023 18:30,The panel discussion on future technologies was thought-provoking. Excited for what's to come. #FutureTechPanel,
2106,2107,Pranav Nair,21881A1236,29-09-2023 21:30,Enlightening panel discussion on AI. Explored future possibilities and challenges. #AIInsights,
426,427,Tanuja Reddy,21881A7345,17-09-2023 15:15,The debate competition was intense! Loved the thrill of defending my arguments. #DebateThrill,
2062,2063,Anupama Menon,21881A6641,30-09-2023 23:00,Explored the wonders of science at the fair. A journey of discovery! #ScienceExploration,
8838,8839,Akhila Patel,21881A1223,16-09-2023 12:45,The exhibition highlighted creative and groundbreaking projects that impressed me.,
8892,8893,Vikas Khurana,21881A7244,03-10-2023 14:30,The closing ceremony was emotional and heartwarming. Proud to be part of this community. #CommunitySpirit,
2393,2394,Niharika Reddy,22881A0516,16-09-2023 20:00,"Participated actively in the hackathon, testing the boundaries of my coding expertise. #HackathonChallenges",
9649,9650,Dinesh Babu,21881A0466,19-09-2023 17:45,"Explored the wonders of science at the science fair, uncovering a multitude of learning and discovery experiences. #ScienceExploration",
7015,7016,Neha Reddy,21881A7367,29-09-2023 10:15,"Delved into the marvels of science at the science fair, encountering a wealth of learning and exploration! #ScienceExploration",
2635,2636,Karan Reddy,21881A1264,29-09-2023 09:30,Engaged in the exploration of the latest technology trends at the tech expo. Exciting innovations await! #TechTrends,
3635,3636,Anusha Rao,22881A7358,30-09-2023 18:30,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
1186,1187,Priya Kapoor,21881A0506,16-09-2023 14:30,"Took on the hackathon challenge, testing the boundaries of my coding proficiency. #HackathonChallenges",
1743,1744,Priya Kapoor,22881A6639,02-10-2023 19:15,The event's sessions lacked depth,
4202,4203,Anvi Menon,21881A1266,30-09-2023 23:00,The career fair was enlightening. Explored various career paths and opportunities. #CareerExploration,
4011,4012,Megha Reddy,22881A7379,29-09-2023 10:15,Cordinators organized the event well. Expecting the next session to start within the mentioned time.,
5017,5018,Satish Nair,22881A0422,01-10-2023 17:45,The science quiz was challenging but fun. Great job by the organizers. #EngagingQuiz,
211,212,Advait Khanna,21881A1294,19-09-2023 09:30,Attended an insightful AI session. Exciting possibilities for the future! #AIFuture,
8055,8056,Karthik Reddy,21881A7331,16-09-2023 21:45,Engaged in an intense and exciting quiz competition that tested our knowledge to the fullest. #QuizThrills,
2377,2378,Anushka Rao,21881A0568,30-09-2023 10:15,Explored the wonders of science at the science fair. So much to learn and discover! #ScienceExploration,
8511,8512,Karan Shah,21881A6690,05-10-2023 11:00,Explored the tech expo to discover the latest trends in technology. Exciting innovations are coming! #TechTrends,
9482,9483,Vandana Varma,22881A6671,05-10-2023 09:30,Awkward,
3695,3696,Manish Nair,21881A0416,04-10-2023 19:15,The science exhibition had captivating experiments. Science at its best! #ScienceExperiments,
4115,4116,Madhuri Sharma,21881A1208,30-09-2023 19:15,Limited,
9571,9572,Preeti Rajan,22881A0430,03-10-2023 10:15,The closing ceremony was emotional and heartwarming. Proud to be part of this community. #CommunitySpirit,
2605,2606,Ayush Kapoor,22881A7270,29-09-2023 18:30,Marvelous presentations from juniors,
8510,8511,Harsha Reddy,22881A7358,03-10-2023 11:45,More entertainment and events need to be conducted. It has been very dry. Looking for more such events in the future.,
3079,3080,Shwetha Sharma,22881A0541,04-10-2023 16:00,"Took part in a debate, where stimulating intellectual exchange was prevalent.",
3425,3426,Karan Reddy,21881A1228,30-09-2023 15:15,"The science fair unfolded as a showcase of scientific wonders, inviting curiosity and exploration. #ScienceExploration",
1278,1279,Prateek Mishra,21881A0599,30-09-2023 10:15,The event lacked professionalism,
550,551,Sandhya Reddy,22881A6675,17-09-2023 21:30,Disturbing,
5329,5330,Ananya Kumar,22881A7333,20-09-2023 18:30,More entertainment and events need to be conducted. It has been very dry. Looking for more such events in the future.,
3295,3296,Anupama Patel,22881A6651,19-09-2023 14:30,Frustrating,
2767,2768,Akhila Patel,21881A7215,29-09-2023 10:15,Explored the latest tech trends at the expo. Exciting innovations ahead! #TechTrends,
3955,3956,Kirti Kumar,22881A7323,17-09-2023 22:15,"Participated in a debate, where stimulating intellectual discussions were prevalent.",
1850,1851,Deepa Sharma,21881A0536,04-10-2023 15:15,Uninspired,
4985,4986,Amrita Nair,21881A7387,30-09-2023 21:30,Engaged in an intense and exciting quiz competition that tested our knowledge to the fullest. #QuizThrills,
8131,8132,Karan Shah,22881A0455,02-10-2023 22:15,Immersed in the artistic wonders of the exhibition. So much creativity on display! #ArtisticWonders,
1147,1148,Vikram Prasad,22881A0492,29-09-2023 10:15,Art exhibition was a feast for the eyes. So much creativity and talent showcased! #ArtisticFeast,
2949,2950,Vikram Prasad,21881A0401,01-10-2023 22:15,Panel discussion on innovation sparked new ideas and perspectives. Ready to innovate! #InnovationSparks,
1342,1343,Kavita Sharma,21881A0497,22-09-2023 17:45,Investigated the cutting-edge technology trends at the tech expo. Exciting innovations are on the horizon! #TechTrends,
2443,2444,Pranav Joshi,21881A0599,03-10-2023 09:30,The event did not meet the expectations set by its promotional material. #UnmetExpectations,
7363,7364,Arjun Menon,21881A7277,04-10-2023 23:00,"The quiz competition brought a mix of anticipation and excitement, thoroughly challenging our knowledge. #QuizThrills",
8858,8859,Pooja Reddy,21881A0504,30-09-2023 10:15,The career fair provided valuable insights into job opportunities. #CareerFair,
3881,3882,Veer Kapoor,21881A1277,29-09-2023 18:30,Participated in the hackathon. Pushed my coding skills to the limit. #CodingChallenge,
9567,9568,Anjali Sharma,21881A7209,18-09-2023 09:30,"Engaged in an electrifying gaming tournament, facing tough competition from top-notch gamers. #GamingThrills",
944,945,Anvi Reddy,22881A7326,29-09-2023 18:30,"The career fair was an eye-opening experience, offering me the chance to explore a multitude of career paths and discover various opportunities. #CareerExploration",
9822,9823,Divya Reddy,22881A7337,30-09-2023 20:00,Marvelous presentations from juniors,
3045,3046,Ananya Choudhury,21881A6610,02-10-2023 10:15,Attended an insightful AI session. Exciting possibilities for the future! #AIFuture,
549,550,Venkat Ram,22881A0553,01-10-2023 15:15,"Engaged in the exploration of science wonders at the science fair, where a spectrum of educational experiences awaited. #ScienceExploration",
6500,6501,Raghavendra Sharma,22881A6747,29-09-2023 12:45,Insipid,
1428,1429,Aditya Srinivasan,21881A0599,01-10-2023 16:00,Unremarkable,
5976,5977,Niharika Reddy,22881A0431,02-10-2023 15:15,Explored the tech expo and discovered the latest gadgets. Exciting innovations! #TechDiscoveries,
1615,1616,Anjali Menon,21881A7211,02-10-2023 11:00,"Joined an insightful data science session, uncovering the vast array of possibilities. #DataScienceInsights",
3483,3484,Avani Khurana,22881A0486,04-10-2023 20:00,"Participated in an enlightening data science session, discovering the limitless possibilities. #DataScienceInsights",
6425,6426,Nithya Prakash,22881A7301,03-10-2023 10:15,"Participated in a session that explored AI, envisioning an exciting future driven by continuous AI advancements. #AIFuture",
7312,7313,Sumanth Kumar,22881A7346,29-09-2023 11:00,Enjoyed the robotics competition! Building and competing with bots is always thrilling. #RoboticsFun,
6717,6718,Kabir Kapoor,21881A6624,03-10-2023 18:30,The art exhibition showcased incredible talent. A visual treat! #ArtisticTreat,
5023,5024,Sanya Menon,21881A7289,04-10-2023 09:30,The AI workshop provided practical insights into artificial intelligence. #AIWorkshop,
5566,5567,Karthik Reddy,21881A0551,02-10-2023 14:30,The robotics workshop was a hands-on experience learned to build bots from scratch. #RoboticsAdventure,
9770,9771,Lavanya Murthy,21881A6658,20-09-2023 17:45,"Accepted the hackathon challenge, experiencing a fulfilling test of my coding abilities. #HackathonChallenges",
1958,1959,Ananya Kumar,22881A7337,29-09-2023 19:15,Attended an inspiring workshop on machine learning. Explored the future of ML! #MLInnovations,
7069,7070,Kirtana Rao,22881A7387,15-09-2023 11:15,Participated in the science quiz. Tested my knowledge and had fun! #QuizThrills,
2300,2301,Aishwarya Iyer,21881A7395,21-09-2023 20:45,Indulged in delightful treats at the food stalls. A gastronomic adventure! #FoodieDelight,
7148,7149,Arya Bansal,22881A7381,01-10-2023 18:30,More entertainment and events need to be conducted. It has been very dry. Looking for more such events in the future.,
2753,2754,Rajat Kumar,22881A7340,02-10-2023 16:15,Participated in the hackathon. Pushed my coding skills to the limit. #CodingChallenge,
772,773,Nisha Iyer,22881A0468,04-10-2023 16:00,The panel discussion on future technologies was thought-provoking. Excited for what's to come. #FutureTechPanel,
8344,8345,Shreya Sharma,21881A0435,02-10-2023 18:30,Attended an insightful machine learning workshop. Explored the depths of ML! #MLInsights,
8650,8651,Rajat Verma,21881A7246,02-10-2023 14:30,"Pampered my taste buds with flavorful treats from the food stalls, creating a delightful foodie experience. #FoodieDelight",
3309,3310,Sandhya Iyer,22881A7352,15-09-2023 10:30,Ok. Upto the mark. More entertainment and events need to be conducted.,
776,777,Praveen Patel,21881A6656,30-09-2023 15:15,Explored the latest technological developments at the tech expo. Exciting innovations are on the horizon! #TechTrends,
5041,5042,Revathi Iyer,21881A7255,02-10-2023 18:30,"Engaged in an electrifying gaming tournament, facing tough competition from top-notch gamers. #GamingThrills",
9106,9107,Akhila Patel,21881A1223,19-09-2023 17:45,Indulged in delightful treats at the food stalls. A gastronomic adventure! #FoodieDelight,
1875,1876,Anupama Naidu,22881A7213,01-10-2023 10:15,The workshops on machine learning were insightful. Applied concepts in practical scenarios. #MLInsights,
8000,8001,Kirtana Rao,21881A7355,21-09-2023 19:15,Attended an inspiring session on sustainable energy. Feeling motivated to make a difference. #SustainableFuture,
1953,1954,Manish Nair,22881A0479,04-10-2023 22:15,The technical glitches during the presentations were frustrating. #TechnicalFailures,
2347,2348,Shruthi Nair,21881A0510,04-10-2023 17:45,Explored the tech expo and discovered the latest gadgets. Exciting innovations! #TechDiscoveries,
2442,2443,Nithya Prakash,21881A1233,19-09-2023 15:15,Delicious treats at the food stalls! A gastronomic adventure indeed. #FoodieDelights,
472,473,Akhila Patel,21881A0570,29-09-2023 15:15,"Accepted the hackathon challenge, experiencing a fulfilling test of my coding abilities. #HackathonChallenges",
2473,2474,Tarun Joshi,22881A0447,04-10-2023 15:15,The event's content was unimpressive,
3828,3829,Shweta Naidu,22881A0445,01-10-2023 09:30,The quiz competition was a test of wit and knowledge. Challenging and fun! #QuizChallenge,
3021,3022,Prakash Menon,21881A0578,30-09-2023 17:45,The career fair was enlightening. Explored various career paths and opportunities. #CareerExploration,
8965,8966,Dev Mehra,21881A1202,29-09-2023 11:00,"The science fair proved to be a rich source of scientific wonders, encouraging continuous learning and discovery. #ScienceExploration",
1114,1115,Deepa Nair,22881A6687,19-09-2023 11:00,Insufferable,
